Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Template Suffix
rent-increase-service,Rent Increase Service,"<p data-start=""151"" data-end=""252"">A simple, professional way to increase rent <strong data-start=""195"" data-end=""222"">legally and compliantly</strong> — without disputes or delays.</p>
<p data-start=""254"" data-end=""424"">We manage the entire rent increase process for you, ensuring it is <strong data-start=""321"" data-end=""357"">fair, affordable, and defensible</strong>, particularly where a property may be sold with a tenant in place.</p>
<h3 data-start=""426"" data-end=""445"">Our stages of service:</h3>
<ul data-start=""447"" data-end=""1016"">
<li data-start=""447"" data-end=""597"">
<p data-start=""449"" data-end=""597""><strong data-start=""449"" data-end=""482"">Affordability &amp; Market Review</strong><br data-start=""482"" data-end=""485"">We assess what rent increase is realistic based on market data, tenant affordability, and sale considerations.</p>
</li>
<li data-start=""599"" data-end=""716"">
<p data-start=""601"" data-end=""716""><strong data-start=""601"" data-end=""642"">Professional Rent Increase Assessment</strong><br data-start=""642"" data-end=""645"">A formal, evidence-based assessment to support the proposed increase.</p>
</li>
<li data-start=""718"" data-end=""873"">
<p data-start=""720"" data-end=""873""><strong data-start=""720"" data-end=""744"">Tenant Communication</strong><br data-start=""744"" data-end=""747"">Official email and <strong data-start=""768"" data-end=""794"">recorded postal notice</strong> sent to the tenant, clearly explaining the increase and any intention to sell.</p>
</li>
<li data-start=""875"" data-end=""1016"">
<p data-start=""877"" data-end=""1016""><strong data-start=""877"" data-end=""902"">Legally Served Notice</strong><br data-start=""902"" data-end=""905"">Rent increase issued in the correct legal format and with the required notice period for England or Scotland. 1 months notice for England and 3 months notice for Scotland typically.</p>
</li>
</ul>
<h3 data-start=""1018"" data-end=""1043"">Why Use This Service?</h3>
<ul data-start=""1045"" data-end=""1212"">
<li data-start=""1092"" data-end=""1124"">
<p data-start=""1094"" data-end=""1124"">Protect tenant relationships</p>
</li>
<li data-start=""1092"" data-end=""1124"">
<p data-start=""1094"" data-end=""1124"">Maximise rental income during the sale process</p>
</li>
<li data-start=""1092"" data-end=""1124"">
<p data-start=""1094"" data-end=""1124"">Ensure your property fits eligibility to be sold to another investor for listing success.</p>
</li>
<li data-start=""1159"" data-end=""1212"">
<p data-start=""1161"" data-end=""1212"">Ideal preparation for selling a tenanted property</p>
</li>
</ul>",Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,200.00,,FALSE,TRUE,,,,service
listing-boost-survey-photography-service,"Listing Boost, RICS Level 2 Survey & Professional Photography Service","<p><strong>Included In Service</strong></p>
<p>Photography:</p>
<ul>
<li>Full Listing Service</li>
<li>Professional Photographer Schedule &amp; Visit</li>
<li>Photos Edited &amp; Resized for Property Portals</li>
<li>3D Rendered Walkthroughs powered by Matterport</li>
<li>Walkthrough Smartphone Video</li>
<li>Property Floorplans</li>
</ul>
<p><span>Survey:</span></p>
<ul>
<li>RICS Level 2 Survey Visit</li>
<li>Full Property Valuation</li>
<li>EPC Rating (Scotland only)</li>
</ul>
<p><span>Featured Listing Service:</span></p>
<ul>
<li>Rightmove Featured Listing Service 7 Days</li>
<li>Zoopla Featured Listing Service 7 Days</li>
<li>OnTheMarket Featured Listing Service 7 Days</li>
</ul>
<p>--</p>
<p><meta charset=""utf-8""><span>Accelerated timeframe sale with Rightmove, Zoopla &amp; OnTheMarket Featured Listings ranking your property higher and giving it </span><u>more than 130% property views the first 7 days</u><span> of listing! Along with the entire service and automatically sending buyers your RICS Level 2 Survey for the best possible service. </span><a href=""https://hub.rightmove.co.uk/how-to-make-the-most-of-featured-property/"" target=""_blank"">Learn more here.</a></p>
<p>--</p>
<p><span>Process for RICS Level 2 Survey:</span></p>
<ul>
<li><span>Visual inspection of all accessible areas (inside &amp; outside)</span></li>
<li><span>Assessment of building condition with colour-coded ratings</span></li>
<li><span>Identification of defects, damp, subsidence, and structural concerns</span></li>
<li><span>Evaluation of fittings, services, and grounds (non-intrusive)</span></li>
<li><span>Advice on repair priorities and ongoing maintenance</span></li>
<li><span>Estimated market valuation and reinstatement cost</span></li>
</ul>
<p>Selling your investment property with a Survey increases your chance of a sale being agreed by over 30% and almost doubles your completion rate as buyers have much more confidence in the purchase especially when making an investment decision.</p>
<p>The service is completely hands off and Let Property will schedule the survey and photography at the same time with 1 hours of access to cause as little disruption to your tenant as possible.</p>",Buy Property Services,Service,,TRUE,Property Value,Up to £100k Value,Location,England,,0,,continue,manual,637.50,,FALSE,TRUE,,,,service
listing-boost-survey-photography-service,,,,,,,Property Value,Up to £100k Value,Location,Scotland,,0,,continue,manual,650.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£100k - £150k Value,Location,England,,0,,continue,manual,656.25,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£100k - £150k Value,Location,Scotland,,0,,continue,manual,725.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£150k - £200k Value,Location,England,,0,,continue,manual,675.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£150k - £200k Value,Location,Scotland,,0,,continue,manual,725.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£200k - £300k Value,Location,England,,0,,continue,manual,712.50,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£200k - £300k Value,Location,Scotland,,0,,continue,manual,825.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£300k - £400k Value,Location,England,,0,,continue,manual,750.00,,FALSE,TRUE,,,,
